phrase,frequency,inDict
pros and cons,0.0011993376205122,1
in vitro,0.0010332966456763,1
status quo,0.0010121958731727,1
vice versa,0.0009918438785818,1
per capita,0.0008412382749156,1
in vivo,0.0008040735796423,1
per annum,0.0006423101304599,1
per se,0.000642109753272,1
de facto,0.0005267199130725,1
ad hoc,0.0004820547832708,1
in situ,0.0004683595297856,1
in fine,0.0004630484796892,1
bona fide,0.0003282874385027,1
pro bono,0.0003065792067347,1
alma mater,0.000253654318324,1
inter alia,0.0002009614456045,1
in retrospect,0.0001983354498261,1
de novo,0.0001802297889733,1
curriculum vitae,0.0001718603502194,1
a priori,0.0001653512554627,1
a cappella,0.0001506941914755,1
prima facie,0.0001433076555591,1
alter ego,0.0001296862252484,1
et cetera,0.0001266067442553,1
modus operandi,0.0001194437870959,1
in camera,0.00010168614978,1
per diem,9.856448411579976e-05,1
pro forma,9.40591612381762e-05,1
pro rata,9.12327882718768e-05,1
habeas corpus,8.382094155279011e-05,1
in utero,7.876299948324832e-05,1
ex vivo,7.63648009290077e-05,0
post hoc,6.379376892964613e-05,1
magnum opus,6.284250459546625e-05,1
pro se,6.172250157673117e-05,1
ex parte,6.052867538350322e-05,1
ad valorem,6.030298739291065e-05,1
in silico,6.000769469493907e-05,1
spina bifida,5.950147864127351e-05,1
post mortem,5.265279728188978e-05,1
quid pro quo,4.799560958816656e-05,1
ex officio,4.629134887415915e-05,1
ab initio,4.611628248893314e-05,1
ad hominem,4.5930669935922434e-05,1
in pace,4.451959268632967e-05,1
in absentia,4.17754798287509e-05,1
de minimis,4.082843396168491e-05,1
ad infinitum,3.964726316979858e-05,1
ad litem,3.913050094834832e-05,1
amicus curiae,3.881411591480734e-05,1
aurora borealis,3.7017048924294576e-05,1
de jure,3.57008871847641e-05,1
ex post,3.483610142641876e-05,1
sine qua non,3.4017718806326096e-05,1
ad nauseam,3.319722695267649e-05,1
sui generis,3.0438349460199147e-05,1
homo sapiens,2.9404825017298617e-05,1
locum tenens,2.934787571126124e-05,1
corpus callosum,2.920444782938933e-05,1
ad libitum,2.7862975287175576e-05,1
in re,2.5673590855072e-05,1
substantia nigra,2.50492577222178e-05,1
res judicata,2.470334341887966e-05,1
inter partes,2.3659272808194432e-05,1
ex ante,2.356646653168908e-05,1
terra firma,2.333023237331181e-05,1
a posteriori,2.2558252891471825e-05,1
mea culpa,2.2532942088788545e-05,1
post partum,2.2349438769334775e-05,1
ipso facto,2.1879079686137187e-05,1
per centum,2.17525256727208e-05,1
mutatis mutandis,2.098476465799469e-05,1
camera obscura,2.0695799660693925e-05,1
pro tempore,1.80381653789497e-05,1
persona non grata,1.7369538341399764e-05,1
in rem,1.7145959584364137e-05,1
per curiam,1.6892851557531355e-05,1
in toto,1.6751532909216385e-05,1
deus ex machina,1.6627088129356933e-05,1
pro tem,1.6403509372321305e-05,1
ultra vires,1.5850890180403063e-05,1
gluteus maximus,1.5848780946846122e-05,1
foramen ovale,1.577073930523935e-05,1
ex post facto,1.5494429709280224e-05,1
mens rea,1.5388968031433234e-05,1
ex nihilo,1.4948138218032802e-05,1
in memoriam,1.404116778854866e-05,1
non sequitur,1.40221846865362e-05,1
caveat emptor,1.3663614981856426e-05,1
corpus christi,1.357924563957883e-05,1
in limine,1.3543388669110851e-05,1
ex situ,1.3395742320125063e-05,0
via media,1.3085684987254903e-05,1
materia medica,1.3030844914774468e-05,1
dura mater,1.2642745940297532e-05,1
tabula rasa,1.2404402548363328e-05,1
in loco,1.222722692958038e-05,1
sanctum sanctorum,1.1839127955103444e-05,1
honoris causa,1.1796943283964648e-05,1
juris doctor,1.1672498504105196e-05,1
carpe diem,1.1048165371250996e-05,1
stare decisis,1.1046056137694058e-05,1
viva voce,1.101230840078302e-05,1
corpus luteum,1.10059807001122e-05,1
in extremis,1.0875208219581929e-05,1
nolo contendere,1.0873098986024988e-05,1
memento mori,1.069803260079898e-05,1
ceteris paribus,1.068115873234346e-05,1
sua sponte,1.0664284863887942e-05,1
pari passu,1.0200253481361173e-05,1
inter vivos,9.92605311895899e-06,1
in forma pauperis,9.491551006229378e-06,1
ad absurdum,9.234224512282715e-06,1
suo motu,9.128762834435723e-06,0
globus pallidus,9.122435133764903e-06,1
delirium tremens,8.86721787337518e-06,1
sensu lato,8.628874481440974e-06,1
rigor mortis,8.54661437272032e-06,1
sola scriptura,8.451698862658027e-06,0
in vacuo,8.439043461316387e-06,1
status quo ante,8.384203388835951e-06,1
aqua regia,8.363111053266553e-06,1
a fortiori,8.356783352595733e-06,1
modus vivendi,8.010869049257595e-06,1
in loco parentis,7.880096568727325e-06,1
sensu stricto,7.854785766044047e-06,1
pro hac vice,7.730340986184594e-06,1
sine die,7.669173213033339e-06,1
foramen magnum,7.610114673439022e-06,1
in personam,7.266309603657824e-06,1
pendente lite,7.0448400801791386e-06,1
casus belli,7.03007544528056e-06,1
terra incognita,6.795950520460235e-06,1
reductio ad absurdum,6.622993368791167e-06,1
locus standi,6.418397713768e-06,1
ad interim,6.152634285593577e-06,1
dramatis personae,6.1020126802270205e-06,1
respondeat superior,6.068264943315983e-06,1
sub judice,6.021861805063306e-06,1
genius loci,5.988114068152268e-06,1
motu proprio,5.846795419837297e-06,1
ex cathedra,5.534628853410198e-06,1
in se,5.450259511132603e-06,1
quantum meruit,5.412293307107686e-06,1
ex gratia,5.298394695032933e-06,1
quo warranto,5.285739293691294e-06,1
actus reus,5.228789987653918e-06,1
in medias res,4.714136999760591e-06,1
mala fide,4.612893789027478e-06,1
in specie,4.536961380977643e-06,1
cantus firmus,4.355567295080815e-06,1
ne plus ultra,4.260651785018521e-06,1
cor pulmonale,4.1826101434117466e-06,1
id est,4.12566083737437e-06,1
terra nullius,4.060274597109234e-06,1
sola fide,4.053946896438415e-06,0
res ipsa loquitur,4.049728429324535e-06,1
nunc pro tunc,3.82404043873197e-06,1
per mille,3.651083287062901e-06,0
et alia,3.648974053505961e-06,1
in flagrante,3.6426463528351415e-06,1
annus horribilis,3.623663250822683e-06,1
inter se,3.5371846749881485e-06,1
parens patriae,3.438050697811975e-06,1
pia mater,3.322042852180282e-06,1
ex libris,3.3072782172817034e-06,1
vox populi,3.246110444130448e-06,1
per os,3.1975980723208306e-06,1
in ovo,3.176505736751432e-06,1
jus ad bellum,3.1680688025236725e-06,0
nolle prosequi,3.1533041676250937e-06,1
in excelsis,3.0963548615877174e-06,1
res publica,3.081590226689138e-06,1
et alii,3.0499517233350404e-06,0
primus inter pares,2.967691614614386e-06,1
de re,2.9149607756908894e-06,0
jus soli,2.887540739450671e-06,1
flagrante delicto,2.870666870995152e-06,1
propter hoc,2.870666870995152e-06,1
compos mentis,2.845356068311874e-06,1
sub rosa,2.7715328938189782e-06,1
camera lucida,2.75254979180652e-06,1
jus in bello,2.7272389891232414e-06,0
ex aequo,2.434055524708601e-06,1
pro tanto,2.425618590480841e-06,1
in flagrante delicto,2.3771062186712245e-06,1
summum bonum,2.360232350215705e-06,1
modus ponens,2.2842999421658705e-06,1
homo erectus,2.263207606596472e-06,1
corpus delicti,2.246333738140953e-06,1
