inDict,phrase
1,a beeline for
0,a bad name
0,a bite out of
0,a bunch of
0,a bitter pill
0,a bone to pick with
0,a bit of a stretch
1,a charmed life
1,a clean breast
0,a cautionary note
1,a deep breath
0,a case in point
1,a dime a dozen
0,a damp squib
0,a cornered rat
0,a crush on
1,a free lunch
1,a fool and his money
0,a duck to water
1,a far cry from
0,a fishing expedition
0,a chance on
0,a good command of
0,a glass ceiling
0,a good thing going
1,a handle on
0,a dead end
1,a heart of gold
1,a dead horse
0,a guiding light
1,a great deal
0,a kick out of it
0,a full deck
0,a leading light
1,a helping hand
1,a matter of
0,a look at
1,a losing battle
1,a means to an end
0,a loose cannon
0,a line between
0,a good head for
1,a raw deal
1,a penny earned
1,a silver lining
0,a narrow escape
0,a one track mind
0,a rain check
0,a resemblance to
0,a soft spot
0,a sacred cow
1,a wide berth
1,above the fray
0,a strong stomach
1,a whale of
0,a wet blanket
1,absent without leave
0,a wild guess
1,acquired immunodeficiency syndrome
1,ace in the hole
0,above sea level
1,against the clock
1,against all odds
1,against the law
1,against the grain
0,according to hoyle
0,against the gods
0,against the current
0,a spade a spade
1,ahead of schedule
1,ahead of the game
1,airs and graces
0,against the odds
0,a square meal
0,against the wind
1,all and sundry
1,alive and kicking
1,age-related macular degeneration
1,all fingers and thumbs
0,against the sun
0,alarm bells ringing
1,all in all
1,all in one
1,all kinds of
0,all at sea
1,all over the place
0,all greek to me
0,all at once
1,all of a sudden
1,all the difference
1,all the tea in china
1,all the same
1,all-hands-on-deck
1,all the way to the bank
0,all the boxes
0,all bark and no bite
0,all time high
1,an axe to grind
1,amyotrophic lateral sclerosis
1,analysis of variance
1,an arm and a leg
1,all-singing%2C all-dancing
1,all-you-can-eat
1,an eye on
1,an example of
0,anatomically modern humans
0,and what not
0,an uphill battle
1,American Sign Language
0,another pair of shoes
0,ants in pants
0,another pair of eyes
0,apples and pears
0,as compared to
1,as easy as pie
1,and so forth
1,as a matter of fact
0,as good as a mile
1,as good as it gets
0,as good as a wink
0,around the bush
0,around in circles
1,as far as
1,as good as mine
0,as it turned out
1,apple of discord
1,as opposed to
1,at a discount
1,as no surprise
1,as well as
0,as time goes by
1,as the crow flies
1,at a loose end
0,at earliest convenience
1,at face value
1,at first glance
0,at its best
1,at first blush
0,at odds with
1,at daggers drawn
0,at rack and manger
1,at sixes and sevens
0,at the cutting edge
1,at the drop of a hat
0,at the deep end
0,at any cost
1,at the altar
0,at the far end
1,at cross-purposes
0,at the latest
0,at the outset
0,at the tough end
0,at the top of the ladder
1,attention deficit hyperactivity disorder
1,at the same time
1,at the seams
1,back and forth
0,away with the fairies
1,back to square one
1,back to the drawing board
0,back to the roots
1,at the mercy of
0,bad blood between
1,bad hair day
0,bald as a coot
0,back to the salt mines
1,baptism of fire
1,bats in the belfry
1,barking up the wrong tree
1,battle of wills
0,back on track
1,be my guest
1,backseat driver
1,beat the heat
1,bed of roses
1,beer and skittles
0,before common era
1,before the storm
1,behind closed doors
1,belle of the ball
1,bells and whistles
0,beg your pardon
1,behind the wheel
0,belt and braces
1,bend over backwards
1,benefit of the doubt
1,below the belt
1,best of both worlds
1,between you and me
1,betwixt and between
1,bed-and-breakfast
0,between two stools
1,beyond the pale
0,beyond a shadow of doubt
0,beyond the scope of
0,beyond the veil
1,big fish in a small pond
1,bigger fish to fry
1,bird of passage
1,birds of a feather
1,bit by bit
1,bird in the hand
0,black as pitch
1,between the lines
0,blame it on
1,bits and pieces
0,blessing in disguise
0,blood on hands
0,blood oxygenation level dependent
1,bold as brass
0,blood run cold
0,blow the nose
1,body and soul together
1,blow the whistle
1,bottom of the barrel
1,bread and butter
0,bottle of wine
1,borderline personality disorder
1,break a leg
1,break the ice
0,bruised and battered
0,british broadcasting corporation
0,bright as a button
1,bright and early
0,built on sand
0,built in a day
1,bull by the horns
1,burst into tears
1,bull in a china shop
0,bump on a log
1,break-even point
0,bundle of joy
1,busy as a bee
1,business as usual
1,but the kitchen sink
1,burning the midnight oil
0,butt of a joke
1,by and large
0,by bread alone
1,brain-derived neurotrophic factor
1,by dint of
0,by the balls
1,by no means
0,by fair means
1,burst into flames
0,by the board
0,by the skin of
1,by the way
1,by and by
1,can of worms
0,can be argued
1,call of duty
1,cap in hand
0,cannot be denied
1,cards on the table
1,carved in stone
1,cart before the horse
1,cat and mouse
0,cast the first stone
0,cat among the pigeons
1,catch up on
0,cat out of the bag
1,caught in the act
1,caught in the middle
1,call it a day
1,caution to the wind
0,chalk and cheese
1,carrot-and-stick
1,change horses in midstream
1,central nervous system
1,chapter and verse
0,castles in the sky
1,change of heart
1,checks and balances
0,charity begins at home
0,cheap and cheerful
1,chips fall where they may
1,chop and change
1,chip off the old block
0,cheap as chips
1,chronic obstructive pulmonary disease
1,chronic fatigue syndrome
1,clean as a whistle
1,clear as mud
0,ciliary neurotrophic factor
1,charge-coupled device
1,close but no cigar
0,closed head injury
1,close to home
0,clothes make the man
1,coals to newcastle
0,clouds on the horizon
1,come into play
1,cloak-and-dagger
0,cog in the machine
1,come a long way
1,cold dark matter
0,chuffed to bits
1,come up with
1,come to terms
0,common cause with
1,congestive heart failure
1,coming of age
1,conspiracy of silence
0,compared to each other
1,cracked up to be
0,corridors of power
1,cows come home
0,cool as a cucumber
1,crack of dawn
0,cream on the crop
1,crying over spilled milk
1,cup of tea
1,day of reckoning
1,cock-and-bull story
1,cut and run
1,cut and thrust
0,death and taxes
1,dead and buried
0,default mode network
1,daylight saving time
0,crest of a wave
1,cut-and-dried
1,Commonwealth of Nations
0,dense core vesicles
0,delusions of grandeur
0,dark as pitch
0,different kettle of fish
0,dirty linen in public
0,diffusion tensor imaging
0,deck of cards
1,do away with
0,divided against itself
1,dog in the manger
1,done to a turn
0,dose response curve
0,double blind study
0,double sided coin
0,down in flames
1,down in the dumps
1,devil-may-care
0,down memory lane
0,down like a lead balloon
0,down the lines
1,do-or-die
0,down the hatches
0,down the rabbit hole
1,down the drain
1,dog-eat-dog
1,down the road
1,down to brass tacks
1,down the street
1,down-and-out
1,dribs and drabs
1,dressed to kill
1,dream come true
1,dry as a bone
1,ducks and drakes
1,ducks in a row
1,easy on the eyes
1,drop a dime
0,eep sea diver
1,eggs in one basket
1,elephant in the room
0,electric light bulb
1,down to it
1,elders and betters
0,elevated plus maze
1,end of the day
0,end of the story
1,down-to-earth
1,down-to-the-wire
0,event related potential
0,eukaryotic elongation factor
1,enough is enough
0,end up with
0,exceeding the limit
1,every now and then
0,everyone and his brother
0,excitatory amino acids
0,extra pair of hands
1,eye of the beholder
0,eye to eye
1,faint of heart
1,face like thunder
