inDict,phrase
1,pros and cons
1,de facto
1,per se
1,per capita
1,in vivo
1,vice versa
1,status quo
1,in vitro
1,per annum
1,ad hoc
1,in situ
1,bona fide
1,in fine
1,alma mater
1,inter alia
1,in retrospect
1,pro bono
1,curriculum vitae
1,de novo
1,a cappella
1,a priori
1,alter ego
1,prima facie
1,et cetera
1,modus operandi
1,in camera
1,per diem
1,in utero
1,pro rata
1,pro forma
1,habeas corpus
0,ex vivo
1,post hoc
1,magnum opus
1,pro se
1,post mortem
1,in silico
1,ad valorem
1,ex parte
1,ex officio
1,spina bifida
1,quid pro quo
1,ab initio
1,ad hominem
1,ad infinitum
1,de minimis
1,in absentia
0,in pace
1,ad litem
1,amicus curiae
1,aurora borealis
1,de jure
1,ex post
1,homo sapiens
1,ad nauseam
1,sine qua non
1,sui generis
1,corpus callosum
1,locum tenens
1,ad libitum
1,in re
1,res judicata
1,inter partes
1,ex ante
1,substantia nigra
1,terra firma
1,a posteriori
1,post partum
1,mea culpa
1,ipso facto
1,per centum
1,mutatis mutandis
1,camera obscura
1,pro tempore
1,persona non grata
1,per curiam
1,in rem
1,in toto
1,deus ex machina
1,pro tem
1,gluteus maximus
1,ultra vires
0,foramen ovale
1,ex post facto
1,mens rea
1,ex nihilo
1,non sequitur
1,in memoriam
1,corpus christi
1,caveat emptor
1,in limine
0,ex situ
1,materia medica
1,via media
1,dura mater
1,tabula rasa
1,in loco
1,sanctum sanctorum
1,honoris causa
0,juris doctor
1,carpe diem
1,in extremis
1,viva voce
1,corpus luteum
1,stare decisis
1,nolo contendere
1,memento mori
1,ceteris paribus
0,sua sponte
1,inter vivos
1,ad absurdum
1,in forma pauperis
1,pari passu
0,suo motu
1,globus pallidus
1,delirium tremens
1,rigor mortis
1,in vacuo
1,sensu lato
1,status quo ante
0,sola scriptura
1,aqua regia
1,a fortiori
1,in loco parentis
1,modus vivendi
1,pro hac vice
1,sensu stricto
1,sine die
0,foramen magnum
1,in personam
1,pendente lite
1,casus belli
1,terra incognita
1,reductio ad absurdum
1,locus standi
1,dramatis personae
1,ad interim
1,respondeat superior
1,sub judice
1,genius loci
1,ex cathedra
1,motu proprio
1,quantum meruit
1,in se
1,ex gratia
1,actus reus
1,quo warranto
1,in medias res
1,mala fide
1,cantus firmus
1,in specie
1,cor pulmonale
1,ne plus ultra
1,terra nullius
0,sola fide
1,id est
1,res ipsa loquitur
1,in flagrante
0,nunc pro tunc
1,per mille
0,et alia
1,inter se
1,annus horribilis
1,parens patriae
1,ex libris
1,pia mater
1,per os
1,vox populi
1,in ovo
1,jus ad bellum
1,in excelsis
1,res publica
1,nolle prosequi
0,et alii
1,de re
1,primus inter pares
0,jus soli
0,flagrante delicto
1,compos mentis
1,propter hoc
1,camera lucida
1,jus in bello
1,sub rosa
0,ex aequo
1,pro tanto
1,in flagrante delicto
1,modus ponens
1,summum bonum
1,homo erectus
1,corpus delicti
0,jus sanguinis
1,lignum vitae
1,ad limina
1,magna carta
1,aurora australis
1,in extenso
1,annus mirabilis
0,bis in die
1,anno domini
0,cura personalis
1,obiter dicta
1,vade mecum
1,sui iuris
1,ratio decidendi
1,perpetuum mobile
1,tu quoque
1,locus classicus
0,ad alta
0,incertae sedis
1,nota bene
0,in futuro
0,malesuada fames
1,in terrorem
1,creatio ex nihilo
0,e pluribus unum
1,aqua vitae
1,numerus clausus
1,exempli gratia
1,erga omnes
1,cui bono
1,lex talionis
